Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 570ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 447ms, Found: 0
Array Size: 7000, Search Value: 3, Comparisons: 12, Time: 559ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 311ms, Found: 0
Array Size: 7000, Search Value: 5, Comparisons: 12, Time: 344ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 288ms, Found: 0
Array Size: 7000, Search Value: 2, Comparisons: 12, Time: 289ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 331ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 449ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 505ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 370ms, Found: 0
Array Size: 7000, Search Value: 3, Comparisons: 12, Time: 326ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 488ms, Found: 0
Array Size: 7000, Search Value: 4, Comparisons: 12, Time: 363ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 429ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 288ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 382ms, Found: 0
Array Size: 7000, Search Value: 4, Comparisons: 12, Time: 389ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 352ms, Found: 0
Array Size: 7000, Search Value: 2, Comparisons: 12, Time: 311ms, Found: 0
Array Size: 7000, Search Value: 1, Comparisons: 12, Time: 575ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 312ms, Found: 0
Array Size: 7000, Search Value: -1, Comparisons: 12, Time: 442ms, Found: 0
Array Size: 7000, Search Value: 0, Comparisons: 12, Time: 407ms, Found: 0
Array Size: 7000, Search Value: 3, Comparisons: 12, Time: 215ms, Found: 0
